250,250,250,229,100.000
250,250,250,229,99.000
232,232,232,229,97.000
224,224,224,229,96.000
214,214,214,224,94.000
199,199,199,211,91.000
186,186,186,178,87.000
181,181,181,165,82.000
179,179,179,140,75.000
148,148,148,38,60.000
128,128,128,0,0.000
